person_id,message_id,message_content,age,gender,race,education,sexual_orientation,party,ideology,income,religion,marital_status,residential_area,turnout_score,response_timestamp,vote_choice
1026,0,CONTROL - No message shown,26.0,Female,White,Graduate degree,Heterosexual,Lean Republican,Very conservative,"$25,000-$49,999",Catholic,Prefer not to say,Urban,60,2024-10-24 01:40:02,Trump
1027,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",44.0,Female,White,Some college,Heterosexual,Strong Republican,Very conservative,"$100,000-$149,999",Atheist,Prefer not to say,Rural,48,2024-10-22 04:32:17,Trump
1028,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",57.0,Female,Hispanic,Less than high school,Heterosexual,Lean Democrat,Moderate,"$75,000-$99,999",Catholic,Married,Suburban,46,2024-10-24 19:01:26,Trump
1029,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",62.0,Prefer not to say,White,High school graduate,Gay or Lesbian,Lean Republican,Conservative,"$50,000-$74,999",Other,Married,Prefer not to say,93,2024-10-22 03:30:34,Trump
1030,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",19.0,Male,Hispanic,Less than high school,Heterosexual,Independent,Moderate,"$100,000-$149,999",Nothing in particular,Married,Urban,32,2024-10-22 06:11:15,Trump
1031,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",29.0,Male,White,Bachelor's degree,Heterosexual,Moderate Democrat,Very liberal,"Under $25,000",Atheist,"Single, never married",Suburban,31,2024-10-23 13:30:18,Harris
1032,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",68.0,Male,Hispanic,Associate's degree,Heterosexual,Independent,Slightly conservative,"$150,000 or more",Nothing in particular,"Single, never married",Suburban,65,2024-10-24 01:59:55,Trump
1033,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",22.0,Male,White,Bachelor's degree,Heterosexual,Independent,Slightly conservative,"$75,000-$99,999",Nothing in particular,Married,Rural,82,2024-10-23 19:44:24,Harris
1034,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",26.0,Male,White,High school graduate,Heterosexual,Strong Republican,Conservative,"Under $25,000",Protestant,Prefer not to say,Suburban,52,2024-10-22 12:35:12,Trump
1035,0,CONTROL - No message shown,54.0,Male,Prefer not to say,Bachelor's degree,Prefer not to say,Moderate Republican,Moderate,"$75,000-$99,999",Protestant,Divorced,Suburban,21,2024-10-23 17:32:44,Trump
1036,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",61.0,Female,White,Bachelor's degree,Prefer not to say,Strong Republican,Prefer not to say,"$75,000-$99,999",Nothing in particular,Married,Suburban,38,2024-10-24 10:39:11,Trump
1037,0,CONTROL - No message shown,48.0,Female,White,Graduate degree,Prefer not to say,Prefer not to say,Slightly conservative,"$100,000-$149,999",Agnostic,Married,Urban,96,2024-10-23 03:29:34,Trump
1038,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",61.0,Male,Asian,Less than high school,Heterosexual,Strong Democrat,Liberal,"$100,000-$149,999",Catholic,Married,Suburban,6,2024-10-24 23:54:49,Trump
1039,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",47.0,Female,White,Bachelor's degree,Heterosexual,Prefer not to say,Conservative,"Under $25,000",Agnostic,Married,Suburban,96,2024-10-24 06:31:26,Trump
1040,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",37.0,Female,Asian,Bachelor's degree,Gay or Lesbian,Prefer not to say,Liberal,"$25,000-$49,999",Protestant,"Single, never married",Suburban,33,2024-10-24 08:30:44,Harris
1041,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",27.0,Male,White,Graduate degree,Heterosexual,Strong Republican,Slightly conservative,"$25,000-$49,999",Catholic,"Single, never married",Prefer not to say,10,2024-10-23 06:46:21,Trump
1042,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",82.0,Male,White,High school graduate,Heterosexual,Strong Democrat,Moderate,"$100,000-$149,999",Agnostic,Divorced,Urban,39,2024-10-22 04:59:31,Harris
1043,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",50.0,Female,White,High school graduate,Heterosexual,Strong Republican,Slightly conservative,"$75,000-$99,999",Protestant,Married,Rural,99,2024-10-23 16:51:14,Trump
1044,0,CONTROL - No message shown,41.0,Male,White,Bachelor's degree,Heterosexual,Strong Republican,Conservative,Prefer not to say,Catholic,Married,Suburban,57,2024-10-24 19:56:52,Trump
1045,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",34.0,Female,Black,Bachelor's degree,Heterosexual,Moderate Republican,Conservative,"Under $25,000",Atheist,Separated,Urban,39,2024-10-22 10:03:21,Harris
1046,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",80.0,Female,White,Some college,Heterosexual,Moderate Democrat,Liberal,"$100,000-$149,999",Agnostic,Married,Suburban,69,2024-10-24 10:56:39,Harris
1047,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",36.0,Female,White,Prefer not to say,Heterosexual,Moderate Democrat,Slightly liberal,"$100,000-$149,999",Orthodox Christian,Separated,Suburban,59,2024-10-23 05:06:20,Harris
1048,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",59.0,Male,White,High school graduate,Heterosexual,Strong Republican,Moderate,"$25,000-$49,999",Protestant,"Single, never married",Suburban,11,2024-10-22 05:44:30,Trump
1049,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",,Female,Hispanic,Associate's degree,Heterosexual,Independent,Liberal,"$100,000-$149,999",Jewish,Living with partner,Suburban,52,2024-10-22 10:34:17,Harris
1050,0,CONTROL - No message shown,26.0,Male,White,Some college,Heterosexual,Moderate Democrat,Liberal,Prefer not to say,Protestant,Married,Suburban,42,2024-10-23 07:29:39,Trump
1051,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",52.0,Prefer not to say,White,Bachelor's degree,Bisexual,Moderate Democrat,Liberal,"$50,000-$74,999",Nothing in particular,"Single, never married",Rural,13,2024-10-24 20:05:48,Harris
1052,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",22.0,Female,White,Associate's degree,Heterosexual,Moderate Democrat,Liberal,"Under $25,000",Catholic,"Single, never married",Suburban,44,2024-10-22 19:26:57,Harris
1053,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",62.0,Male,Other,High school graduate,Heterosexual,Strong Republican,Slightly conservative,"Under $25,000",Nothing in particular,"Single, never married",Suburban,81,2024-10-23 02:57:39,Trump
1054,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",30.0,Female,Hispanic,Prefer not to say,Heterosexual,Strong Republican,Very conservative,"Under $25,000",Nothing in particular,Married,Suburban,34,2024-10-22 21:58:45,Trump
1055,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",,Male,Asian,Graduate degree,Heterosexual,Strong Republican,Very conservative,"$50,000-$74,999",Nothing in particular,Divorced,Suburban,88,2024-10-23 00:39:38,Trump
1056,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",21.0,Female,White,Bachelor's degree,Heterosexual,Moderate Democrat,Very liberal,"Under $25,000",Catholic,Living with partner,Urban,74,2024-10-24 23:20:44,Undecided
1057,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",52.0,Female,White,Some college,Heterosexual,Lean Democrat,Slightly conservative,"$50,000-$74,999",Prefer not to say,Married,Urban,85,2024-10-23 01:40:36,Harris
1058,0,CONTROL - No message shown,57.0,Female,White,Prefer not to say,Heterosexual,Strong Republican,Very conservative,"$150,000 or more",Protestant,"Single, never married",Urban,77,2024-10-24 06:00:15,Trump
1059,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",38.0,Female,Black,Bachelor's degree,Gay or Lesbian,Lean Republican,Very conservative,"Under $25,000",Protestant,Divorced,Rural,60,2024-10-24 20:37:01,Trump
1060,0,CONTROL - No message shown,57.0,Male,Black,Associate's degree,Heterosexual,Independent,Prefer not to say,"$50,000-$74,999",Nothing in particular,"Single, never married",Urban,51,2024-10-23 21:07:31,Trump
1061,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",42.0,Male,Asian,Graduate degree,Heterosexual,Lean Republican,Slightly conservative,"$100,000-$149,999",Mormon,Married,Suburban,95,2024-10-24 14:45:24,Harris
1062,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",33.0,Male,White,Less than high school,Heterosexual,Moderate Republican,Very conservative,"$50,000-$74,999",Nothing in particular,Married,Suburban,26,2024-10-22 13:44:59,Trump
1063,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",53.0,Male,White,High school graduate,Heterosexual,Prefer not to say,Moderate,"$25,000-$49,999",Mormon,Living with partner,Suburban,36,2024-10-23 18:34:08,Trump
1064,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",32.0,Male,White,Prefer not to say,Heterosexual,Moderate Republican,Moderate,"$75,000-$99,999",Protestant,"Single, never married",Urban,89,2024-10-23 22:58:15,Trump
1065,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",22.0,Male,Hispanic,Graduate degree,Heterosexual,Strong Republican,Conservative,"$50,000-$74,999",Agnostic,Married,Suburban,28,2024-10-24 23:06:44,Trump
1066,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",32.0,Male,Prefer not to say,Associate's degree,Heterosexual,Prefer not to say,Moderate,"$150,000 or more",Nothing in particular,Married,Prefer not to say,92,2024-10-22 00:21:03,Harris
1067,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",42.0,Female,White,High school graduate,Heterosexual,Moderate Democrat,Liberal,"$25,000-$49,999",Protestant,Married,Suburban,71,2024-10-22 12:31:48,Undecided
1068,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",25.0,Female,Other,Graduate degree,Heterosexual,Lean Republican,Conservative,"$75,000-$99,999",Nothing in particular,Separated,Rural,67,2024-10-24 12:24:40,Trump
1069,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",26.0,Female,White,Graduate degree,Heterosexual,Other,Moderate,Prefer not to say,Protestant,Married,Rural,3,2024-10-24 12:45:23,Trump
1070,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",,Female,White,Some college,Heterosexual,Strong Democrat,Prefer not to say,"$100,000-$149,999",Nothing in particular,Married,Rural,78,2024-10-22 19:19:15,Trump
1071,0,CONTROL - No message shown,86.0,Female,White,Associate's degree,Prefer not to say,Strong Democrat,Very liberal,"$75,000-$99,999",Nothing in particular,"Single, never married",Urban,54,2024-10-23 20:08:08,Harris
1072,4,"The Supreme Court has undermined our democracy and our freedom to vote. They gutted the Voting Rights Act and let MAGA state lawmakers create barriers to the ballot box, particularly for communities of color and young voters.",63.0,Female,White,Less than high school,Heterosexual,Independent,Conservative,"$25,000-$49,999",Catholic,Married,Suburban,14,2024-10-22 15:37:42,Trump
1073,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",61.0,Female,Hispanic,Some college,Heterosexual,Lean Democrat,Prefer not to say,"$150,000 or more",Protestant,Living with partner,Suburban,51,2024-10-22 07:20:13,Trump
1074,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",44.0,Male,White,High school graduate,Heterosexual,Strong Republican,Conservative,Prefer not to say,Nothing in particular,Married,Suburban,24,2024-10-22 20:22:25,Trump
1075,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",26.0,Male,White,Bachelor's degree,Heterosexual,Moderate Democrat,Very liberal,"$50,000-$74,999",Nothing in particular,Married,Suburban,31,2024-10-23 14:28:58,Trump
1076,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",38.0,Male,White,High school graduate,Heterosexual,Moderate Democrat,Slightly liberal,"Under $25,000",Nothing in particular,Living with partner,Rural,18,2024-10-23 17:00:06,Trump
1077,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",33.0,Male,White,Some college,Heterosexual,Strong Democrat,Liberal,"$75,000-$99,999",Protestant,"Single, never married",Urban,30,2024-10-23 21:33:31,Harris
1078,2,"Donald Trump brags that he personally selected three of the Supreme Court justices that 'killed Roe v. Wade.' Now, one in three women live in states where they cannot access abortion care when they need it.",35.0,Female,Prefer not to say,Bachelor's degree,Prefer not to say,Lean Democrat,Slightly conservative,"$150,000 or more",Protestant,"Single, never married",Prefer not to say,92,2024-10-22 07:30:55,Trump
1079,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",45.0,Female,White,Graduate degree,Heterosexual,Moderate Republican,Slightly conservative,"$25,000-$49,999",Catholic,Married,Urban,31,2024-10-24 16:40:34,Undecided
1080,5,"Again and again, MAGA justices on the Supreme Court are siding with big corporations over workers and our environment. They've weakened critical environmental rules protecting our air and water.",31.0,Male,White,Associate's degree,Heterosexual,Lean Republican,Slightly conservative,"$100,000-$149,999",Nothing in particular,Separated,Urban,52,2024-10-23 15:00:46,Trump
1081,1,"In 2025 when the next president takes office, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, which could have a huge impact on upcoming cases concerning abortion, marriage equality, gun safety, and the climate crisis.",90.0,Male,Black,Some college,Heterosexual,Independent,Slightly liberal,"$25,000-$49,999",Nothing in particular,Divorced,Prefer not to say,59,2024-10-22 19:03:34,Trump
1082,0,CONTROL - No message shown,35.0,Male,Black,Bachelor's degree,Heterosexual,Moderate Democrat,Liberal,"$100,000-$149,999",Atheist,"Single, never married",Prefer not to say,46,2024-10-22 11:20:34,Trump
1083,3,"In 2025, four of the nine Supreme Court justices will be in their 70s and could retire or die. That means Donald Trump could ensure MAGA control of the Court for decades to come, threatening our access to abortion care and further undermining Americans' access to life-saving health care and treatments like IVF.",50.0,Female,Black,Some college,Heterosexual,Strong Republican,Very conservative,"$50,000-$74,999",Protestant,Widowed,Suburban,15,2024-10-24 23:07:17,Trump
